Order ID	Line ID	Sku ID	Qty Ordered	Qty Picked	Qty Shipped	Req Batch ID
188332	4	'001031	288	0	0	HH95
188332	5	'001015	216			JJ47
188332	6	'044024	432	0	0	HW15
188332	7	'001171	720			HX78
188332	8	'044075	240	0	0	W014
188332	9	'044210	192	0	0	W024
188332	10	'001619	288	0	0	48622
188332	11	'001104	288	0	0	82105
188332	12	'088501	432	0	0	JJ70
188332	13	'059013	144			JE67
188332	14	'014001	288	0	0	HZ85
188350	1	'001031	720	0	0	HH95
188350	2	'001015	240			JJ47
188350	3	'087653	24	0	0	82614
188350	4	'089508	120	0	0	JG62
188350	5	'005061	36	0	0	JC74
188350	6	'005576	36	0	0	HT03
188350	7	'005681	36	0	0	
188350	8	'003700	72	0	0	
188351	1	'089737	1536	0	0	HX69
188351	2	'014001	804	0	0	HZ85
188351	3	'014117	1200	0	0	HZ90
188351	4	'014176	804	0	0	HN13
188356	1	'089303	4560	0	0	JD26
188356	2	'089303	240	0	0	JD26
188356	3	'089303	0	0	0	JD26
188356	4	'089303	240	0	0	JD26
188357	1	'089001	216	0	0	HT74
188357	2	'089001	0	0	0	HT74
188357	3	'089001	0	0	0	HT74
188357	4	'089001	24	0	0	HT74
188357	5	'089028	0	0	0	HK29
188357	6	'089028	0	0	0	HK29
188357	7	'089028	108	0	0	HK29
188357	8	'089028	12	0	0	HK29
188357	9	'006394	480	0	0	
188357	10	'004227	288	0	0	HZ99
188357	11	'086312	1800	0	0	7219528
188357	12	'088536	240	0	0	HL66
188357	13	'004928	720	0	0	JC97
188360	1	'089990	24	0	0	HN10
188360	2	'005061	96	0	0	JC74
188360	3	'040274	480	0	0	JC71
188360	4	'006394	384	0	0	
188360	5	'001031	192	0	0	HH95
188360	6	'001430	432	0	0	JA83
188360	7	'004103	720			JJ24
188360	8	'005576	180	0	0	HT03
188360	9	'004227	360	0	0	HZ99
188360	10	'002119	96	0	0	
188360	11	'002003	240	0	0	HK07
188360	12	'001910	240	0	0	
188360	13	'044024	144	0	0	HW15
188360	14	'001171	240	0	0	HX78
188360	15	'044075	40	0	0	W014
188360	16	'044059	60	0	0	W524
188360	17	'044210	160	0	0	W024
188360	18	'001724	144	0	0	HT60
188360	19	'001619	72	0	0	48622
188360	20	'086312	72	0	0	7219528
188360	21	'040045	144	0	0	7570
188360	22	'002089	192			HN02
188360	23	'002224	120	0	0	JD84
188360	24	'087653	120	0	0	82614
188360	25	'005932	120	0	0	JB17
188360	26	00233X	432	0	0	HM06
188360	27	'002259	240	0	0	HW73
188360	28	'004944	480	0	0	JG17
188360	29	'026743	180			HX02
188360	30	'040088	576	0	0	HV16
188360	31	'018406	240	0	0	JD44
188360	32	'006149	240	0	0	HC50
188360	33	'089311	120	0	0	14D08112
188360	34	'003018	192			HZ57
188360	35	'014036	144	0	0	HH94
188360	36	'014117	288	0	0	HZ90
188360	37	'040061	72	0	0	JB20
188360	38	'002577	480	0	0	JB27
188360	39	'004901	120	0	0	HT97
188360	40	'089508	180	0	0	JG62
188360	41	'086134	180	0	0	47236B
188360	42	'002682	144	0	0	HT47
188419	1	'076112	120	0	0	
188419	2	'076422	48	0	0	
188419	3	'076309	144	0	0	
188419	4	'076104	72	0	0	
188419	5	'076406	240	0	0	
188419	6	'076376	480	0	0	
188419	7	'076392	60	0	0	
188419	8	'076384	12	0	0	
188510	1	'089737	48	0	0	HX69
188510	2	'001430	720			JA83
188510	3	'002003	96	0	0	HW05
188510	4	'001910	192	0	0	
188510	5	'001171	336	0	0	
188510	6	'001619	36	0	0	48622
188510	7	'089303	144	0	0	JD26
188510	8	'003018	48			HZ57
188510	9	'014117	228	0	0	HZ90
188510	10	'014176	264	0	0	HN13
188661	1	'088501	660	0	0	JH49
188661	2	'088501	60	0	0	JH49
188661	3	'088501	0			JH49
188661	4	'088501	0			JH49
188661	5	'044075	560	0	0	W014
188661	6	'089575	132	0	0	
188661	7	'089575	12	0	0	
188661	8	'089575	0			
188661	9	'089575	0			
188765	1	'001619	624			
188766	1	'014176	90			
188766	2	'014176	6			
188766	3	'014117	360			
188766	4	'014117	36			
188766	5	'040231	1500			
188766	6	'088501	1320			
188766	7	'088501	120			
188766	8	'006009	4680			
188766	9	'006009	468			
188766	10	'006122	360			
188766	11	'006122	36			
188766	12	00622X	360			
188766	13	00622X	36			
188766	14	'089559	600			
188766	15	'089559	60			
188766	16	'089575	264			
188766	17	'089575	24			
188766	18	'044059	1680			
188766	19	'044075	4200			
188766	20	'044210	2240			
188766	21	'044091	720			
188766	22	'001171	4800			
188766	23	'001910	4800			
188824	1	'001031	9000	0	0	
2A179107	1	'069566	34960	34956	34956	
